"codLoc","gtfs_stop_id","nome_sito","nome_gtfs","linea","linea_nome","lat","lon","zona_istat"
"1","6001","NAPOLI PORTA NOLANA","Napoli Porta Nolana","L1","NAPOLI-SORRENTO","40.849223","14.269264","63049"
"3","6003","NAPOLI PIAZZA GARIBALDI","Napoli P. Garibaldi","L8","NAPOLI-NOLA-BAIANO","40.851017","14.272976","63049"
"4","6004","VIA GIANTURCO","Via Gianturco","L6","NAPOLI-OTTAVIANO-SARNO","40.845922","14.287257","63049"
"5","6005","SAN GIOVANNI A TEDUCCIO","S. Giovanni a Teduccio","L1","NAPOLI-SORRENTO","40.84171","14.300152","63049"
"6","6006","BARRA","Barra","L1","NAPOLI-SORRENTO","40.844001","14.314253","63049"
"7","6007","PONTICELLI","Ponticelli","L6","NAPOLI-OTTAVIANO-SARNO","40.851023","14.333336","63049"
"8","6008","CERCOLA","Cercola","L6","NAPOLI-OTTAVIANO-SARNO","40.856301","14.355284","63026"
"9","6009","POLLENA","Pollena Trocchia ","L6","NAPOLI-OTTAVIANO-SARNO","40.859843","14.380188","63026"
"10","6010","GUINDAZZI","Guindazzi","L6","NAPOLI-OTTAVIANO-SARNO","40.862238","14.384253","63026"
"11","6011","MADONNA DELL'ARCO","Madonna dell'Arco","L6","NAPOLI-OTTAVIANO-SARNO","40.867387","14.38936","63072"
"12","6012","SANT'ANASTASIA","S. Anastasia","L6","NAPOLI-OTTAVIANO-SARNO","40.870059","14.400303","63072"
"13","6013","VILLA AUGUSTEA","Villa Augustea","L6","NAPOLI-OTTAVIANO-SARNO","40.873319","14.426348","63079"
"14","6014","SOMMA VESUVIANA","Somma Vesuviana","L6","NAPOLI-OTTAVIANO-SARNO","40.874074","14.438364","63079"
"15","6015","RIONE TRIESTE","Rione Trieste","L6","NAPOLI-OTTAVIANO-SARNO","40.870324","14.461298","63079"
"16","6016","OTTAVIANO","Ottaviano","L6","NAPOLI-OTTAVIANO-SARNO","40.852868","14.480637","63051"
"17","6017","S.LEONARDO","S. Leonardo","L6","NAPOLI-OTTAVIANO-SARNO","40.842968","14.492379","63068"
"18","6018","SAN GIUSEPPE","S. Giuseppe","L6","NAPOLI-OTTAVIANO-SARNO","40.837373","14.501191","63068"
"19","6019","CASILLI","Casilli","L6","NAPOLI-OTTAVIANO-SARNO","40.826259","14.50026","63068"
"20","6020","TERZIGNO","Terzigno","L6","NAPOLI-OTTAVIANO-SARNO","40.814159","14.497272","63026"
"21","6021","FLOCCO","Flocco","L6","NAPOLI-OTTAVIANO-SARNO","40.803537","14.532158","63026"
"22","6022","POGGIOMARINO","Poggiomarino","L6","NAPOLI-OTTAVIANO-SARNO","40.800957","14.540077","63026"
"23","6023","STRIANO","Striano","L6","NAPOLI-OTTAVIANO-SARNO","40.811906","14.577021","63026"
"24","6024","SAN VALENTINO","S. Valentino Torio","L6","NAPOLI-OTTAVIANO-SARNO","40.797129","14.600155","65132"
"25","6025","SARNO","Sarno","L6","NAPOLI-OTTAVIANO-SARNO","40.81221","14.618466","65135"
"26","6026","SANTA MARIA DEL POZZO","S. Maria del Pozzo","L4","NAPOLI-SCAFATI-POGGIOMARINO","40.84018","14.327495","63049"
"27","6027","SAN GIORGIO A CREMANO","san giorgio a cremano","L4","NAPOLI-SCAFATI-POGGIOMARINO","40.832653","14.337712","63067"
"28","","CAVALLI DI BRONZO","","L1","NAPOLI-SORRENTO","","",""
"29","6029","PORTICI BELLAVISTA","Portici Bellavista","L4","NAPOLI-SCAFATI-POGGIOMARINO","40.82267","14.34318","63059"
"30","6030","PORTICI VIA LIBERTÀ","Portici Via Liberta'","L1","NAPOLI-SORRENTO","40.816813","14.346132","63059"
"31","6031","ERCOLANO SCAVI","Ercolano Scavi","L1","NAPOLI-S.GIORGIO-TORRE","40.808913","14.354887","63064"
"32","6032","ERCOLANO MIGLIO D'ORO","Ercolano Miglio d'Oro","L1","NAPOLI-S.GIORGIO-TORRE","40.802102","14.361347","63064"
"33","6033","TORRE DEL GRECO","Torre del Greco","L1","NAPOLI-S.GIORGIO-TORRE","40.793105","14.369915","63084"
"34","6034","VIA SANT'ANTONIO","Via S. Antonio","L1","NAPOLI-SORRENTO","40.784248","14.384107","63084"
"35","6035","VIA DEL MONTE","Via del Monte","L4","NAPOLI-SCAFATI-POGGIOMARINO","40.778211","14.392364","63084"
"36","","VIA DEI MONACI","","L4","NAPOLI-SCAFATI-POGGIOMARINO","","",""
"37","6037","VILLA DELLE GINESTRE","Villa delle Ginestre","L1","NAPOLI-SORRENTO","40.772198","14.40839","63084"
"38","6038","LEOPARDI","Leopardi","L1","NAPOLI-SORRENTO","40.766047","14.417619","63084"
"39","","VIA VIULI","","L1","NAPOLI-SORRENTO","","",""
"40","6040","TRECASE","Trecase","L4","NAPOLI-SCAFATI-POGGIOMARINO","40.761797","14.4396","63026"
"41","6041","TORRE ANNUNZIATA - OPLONTI","Torre Annunziata - Oplonti","L1","NAPOLI-SORRENTO","40.759526","14.451518","63083"
"42","6042","BOSCOTRECASE - PORTA DI ACCESSO AL CRATERE DEL VESUVIO","Boscotrecase","L4","NAPOLI-SCAFATI-POGGIOMARINO","40.76864","14.461099","63009"
"43","6043","BOSCOREALE","Boscoreale","L4","NAPOLI-SCAFATI-POGGIOMARINO","40.770014","14.474444","63008"
"44","6044","VILLA REGINA","Villa Regina","L1","NAPOLI-SORRENTO","40.757212","14.470373","63083"
"45","6045","POMPEI SANTUARIO","Pompei Santuario","L4","NAPOLI-SCAFATI-POGGIOMARINO","40.751134","14.501608","63058"
"46","6046","SCAFATI","Scafati","L4","NAPOLI-SCAFATI-POGGIOMARINO","40.753598","14.524419","65137"
"47","6047","S.PIETRO","S. Pietro","L4","NAPOLI-SCAFATI-POGGIOMARINO","40.760632","14.534388","65137"
"48","6048","VIA CANGIANI","Via Cangiani","L4","NAPOLI-SCAFATI-POGGIOMARINO","40.785275","14.537658","63008"
"49","6049","POMPEI SCAVI VILLA DEI MISTERI","Pompei Scavi Villa dei Misteri","L1","NAPOLI-SORRENTO","40.748639","14.481274","63058"
"51","6051","PIOPPAINO","Pioppaino","L1","NAPOLI-SORRENTO","40.718855","14.491609","63024"
"52","6052","STABIA SCAVI","Stabia Scavi","L1","NAPOLI-SORRENTO","40.70282","14.49064","63024"
"53","6053","CASTELLAMMARE DI STABIA","Castellammare di Stabia","L1","NAPOLI-SORRENTO","40.695305","14.483355","63024"
"54","","CASTELLAMMARE TERME","","L1","NAPOLI-SORRENTO","","",""
"55","","POZZANO","","L1","NAPOLI-SORRENTO","","",""
"56","","SCRAJO","","L1","NAPOLI-SORRENTO","","",""
"57","6057","VICO EQUENSE","Vico Equense","L1","NAPOLI-SORRENTO","40.662921","14.42997","63086"
"58","6058","SEIANO","Seiano","L1","NAPOLI-SORRENTO","40.655986","14.426703","63086"
"59","6059","META","Meta","L1","NAPOLI-SORRENTO","40.640169","14.416313","63046"
"60","6060","PIANO","Piano","L1","NAPOLI-SORRENTO","40.634899","14.410347","63053"
"61","6061","SANT'AGNELLO","S. Agnello","L1","NAPOLI-SORRENTO","40.631077","14.397931","63071"
"62","6062","SORRENTO","Sorrento","L1","NAPOLI-SORRENTO","40.625848","14.379731","63080"
"63","","POGGIOREALE","","L1","NAPOLI-S.GIORGIO-TORRE","","",""
"64","","BOTTEGHELLE","","L1","NAPOLI-S.GIORGIO-TORRE","","",""
"66","6066","CASALNUOVO","Casalnuovo","L8Dir","NAPOLI-POMIGLIANO","40.907802","14.347487","63017"
"67","6067","TALONA","Talona","L8","NAPOLI-NOLA-BAIANO","40.910184","14.36541","63017"
"68","6068","PRATOLA PONTE","Pratola Ponte","L8","NAPOLI-NOLA-BAIANO","40.913532","14.382974","63057"
"69","6069","POMIGLIANO D'ARCO","Pomigliano d'Arco","L8Dir","NAPOLI-POMIGLIANO","40.914691","14.393016","63057"
"70","6070","VOLLA","Casoria Arpino - Volla","L8Dir","NAPOLI-POMIGLIANO","40.88815","14.32968","63026"
"71","6071","CASTELCISTERNA","Castelcisterna","L8","NAPOLI-NOLA-BAIANO","40.920471","14.412382","63013"
"72","6072","BRUSCIANO","Brusciano","L8","NAPOLI-NOLA-BAIANO","40.91706","14.4177","63010"
"73","6073","VIA VITTORIO VENETO","Via Vittorio Veneto","L8","NAPOLI-NOLA-BAIANO","40.919475","14.442251","63043"
"74","6074","MARIGLIANO","Marigliano","L8","NAPOLI-NOLA-BAIANO","40.916935","14.456535","63043"
"75","6075","S.VITALIANO","S. Vitaliano","L8","NAPOLI-NOLA-BAIANO","40.918332","14.473345","63013"
"76","6076","SCISCIANO","Scisciano","L8","NAPOLI-NOLA-BAIANO","40.912661","14.480314","63013"
"77","6077","SAVIANO","Saviano","L8","NAPOLI-NOLA-BAIANO","40.912176","14.509323","63076"
"78","6078","NOLA","Nola","L8","NAPOLI-NOLA-BAIANO","40.929364","14.526792","63050"
"79","6079","CIMITILE","Cimitile","L8","NAPOLI-NOLA-BAIANO","40.93913","14.530495","63013"
"80","6080","CAMPOSANO","Camposano","L8","NAPOLI-NOLA-BAIANO","40.952172","14.531389","63013"
"81","6081","CICCIANO","Cicciano","L8","NAPOLI-NOLA-BAIANO","40.960562","14.543252","63027"
"82","6082","ROCCARAINOLA","Roccarainola","L8","NAPOLI-NOLA-BAIANO","40.966367","14.56006","63013"
"83","6083","AVELLA","Avella","L8","NAPOLI-NOLA-BAIANO","40.955199","14.602343","64007"
"84","6084","BAIANO","Baiano","L8","NAPOLI-NOLA-BAIANO","40.952895","14.616973","64010"
"87","6087","LA PIGNA","La Pigna","L8Dir","NAPOLI-POMIGLIANO","40.908854","14.355014","63017"
"88","","PARCO PIEMONTE","","L8","NAPOLI-NOLA-BAIANO","","",""
"89","6089","DE RUGGIERO","De Ruggiero","L8","NAPOLI-NOLA-BAIANO","40.916265","14.428504","63010"
"90","","CENTRO DIREZIONALE","","L1","NAPOLI-S.GIORGIO-TORRE","","",""
"91","","BARTOLO LONGO","","L1","NAPOLI-S.GIORGIO-TORRE","","",""
"92","","VESUVIO DE MEIS (SGV)","","L1","NAPOLI-S.GIORGIO-TORRE","","",""
"93","","VILLA VISCONTI","","L1","NAPOLI-S.GIORGIO-TORRE","","",""
"94","","ARGINE-PALASPORT","","L1","NAPOLI-S.GIORGIO-TORRE","","",""
"95","6095","VESUVIO DE MEIS (SA)","Vesuvio De Meis (SA)","L6","NAPOLI-OTTAVIANO-SARNO","40.851719","14.339459","63049"
"96","","MADONNELLE","","L1","NAPOLI-S.GIORGIO-TORRE","","",""
"97","6097","SALICE","Salice","L8","NAPOLI-NOLA-BAIANO","40.89959","14.33768","63017"
"99","","MOREGINE","","L1","NAPOLI-SORRENTO","","",""
"101","","BIVIO BOTTEGHELLE","","L8","NAPOLI-NOLA-BAIANO","","",""
"102","","BIVIO MADONNELLE","","L1","NAPOLI-S.GIORGIO-TORRE","","",""
"107","","POZZUOLI","","L9","CUMANA","","",""
"109","6109","QUARTO","Quarto","L5","CIRCUMFLEGREA","40.88024","14.13624","63049"
"520","","VIA NOCERA","","L1","NAPOLI-SORRENTO","","",""
"801","6801","MONTESANTO","Montesanto","L5","CIRCUMFLEGREA","40.84705","14.24533","63049"
"802","6802","CORSO V. EMANUELE","Corso V. Emanuele","L9","CUMANA","40.83655","14.22106","63049"
"803","6803","FUORIGROTTA","Fuorigrotta","L9","CUMANA","40.82801","14.20164","63049"
"804","6804","MOSTRA","Mostra","L9","CUMANA","40.82469","14.19321","63049"
"805","6805","EDENLANDIA","Edenlandia","L9","CUMANA","40.82034","14.18354","63049"
"806","6806","AGNANO","Agnano","L9","CUMANA","40.81782","14.17654","63049"
"808","6808","BAGNOLI","Bagnoli","L9","CUMANA","40.81518","14.16682","63049"
"809","","ACCADIA P.M.","","L9","CUMANA","","",""
"810","6810","DAZIO","Dazio","L9","CUMANA","40.81729","14.16","63049"
"811","6811","GEROLOMINI","Gerolomini","L9","CUMANA","40.82065","14.1353","63060"
"812","","CAPPUCCINI","","L9","CUMANA","","",""
"814","","CANTIERI","","L9","CUMANA","","",""
"815","6815","ARCO FELICE","Arco felice","L9","CUMANA","40.83289","14.10147","63060"
"816","","LUCRINO","","L9","CUMANA","","",""
"817","6817","BAIA","Baia","L9","CUMANA","40.821054","14.071459","63006"
"818","6818","FUSARO","Fusaro","L9","CUMANA","40.81865","14.06173","63006"
"819","6819","TORREGAVETA","Torregaveta","L9","CUMANA","40.81164","14.04526","63006"
"820","6820","PIAVE","Piave","L5","CIRCUMFLEGREA","40.842921","14.206531","63049"
"821","6821","SOCCAVO","Soccavo","L5","CIRCUMFLEGREA","40.84391","14.20091","63049"
"822","6822","RIONE TRAIANO","Rione Traiano","L5","CIRCUMFLEGREA","40.84514","14.19411","63049"
"823","6823","LA TRENCIA","La Trencia","L5","CIRCUMFLEGREA","40.85417","14.17165","63049"
"824","6824","PIANURA","Pianura","L5","CIRCUMFLEGREA","40.85601","14.16281","63049"
